rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1542726564988119512,,1,,1542726564,985213994,"""world""",,,1.25056239211,0.0791117103722,1.45,,0.0,0.0,0.0,1.0
1542726565043521113,,2,,1542726565,43013095,"""world""",,,1.24689767572,0.0728624305324,1.45,,0.0,0.0,0.0,1.0
1542726565080038966,,3,,1542726565,79638957,"""world""",,,1.24591412995,0.070871212003,1.45,,0.0,0.0,0.0,1.0
1542726565119898923,,4,,1542726565,119580030,"""world""",,,1.24591412995,0.070871212003,1.45,,0.0,0.0,0.0,1.0
1542726565170762371,,5,,1542726565,170511007,"""world""",,,1.24517139283,0.0678138226395,1.45,,0.0,0.0,0.0,1.0
1542726565192136674,,6,,1542726565,191822052,"""world""",,,1.24403449223,0.063418669159,1.45,,0.0,0.0,0.0,1.0
1542726565225143397,,7,,1542726565,224963903,"""world""",,,1.24344738996,0.0611670309527,1.45,,0.0,0.0,0.0,1.0
1542726565258790702,,8,,1542726565,258517026,"""world""",,,1.24344738996,0.0611670309527,1.45,,0.0,0.0,0.0,1.0
1542726565305474745,,9,,1542726565,289021968,"""world""",,,1.24352099649,0.0589516655916,1.45,,0.0,0.0,0.0,1.0
1542726565352368829,,10,,1542726565,352035999,"""world""",,,1.24339545933,0.0558590200036,1.45,,0.0,0.0,0.0,1.0
1542726565368587898,,11,,1542726565,368235111,"""world""",,,1.24382065137,0.0529582727843,1.45,,0.0,0.0,0.0,1.0
1542726565440987390,,12,,1542726565,429902076,"""world""",,,1.24454318611,0.049653361583,1.45,,0.0,0.0,0.0,1.0
1542726565468275057,,13,,1542726565,467971086,"""world""",,,1.2451254531,0.0479761737973,1.45,,0.0,0.0,0.0,1.0
1542726565503719990,,14,,1542726565,503407955,"""world""",,,1.2451254531,0.0479761737973,1.45,,0.0,0.0,0.0,1.0
1542726565550297516,,15,,1542726565,549711942,"""world""",,,1.24530794086,0.0463340782517,1.45,,0.0,0.0,0.0,1.0
1542726565598932837,,16,,1542726565,598356962,"""world""",,,1.2448108214,0.0434452131392,1.45,,0.0,0.0,0.0,1.0
1542726565639895369,,17,,1542726565,639446973,"""world""",,,1.24369548324,0.0403808267626,1.45,,0.0,0.0,0.0,1.0
1542726565692696318,,18,,1542726565,692416906,"""world""",,,1.2415084475,0.0366716482092,1.45,,0.0,0.0,0.0,1.0
1542726565716262414,,19,,1542726565,715950012,"""world""",,,1.23702704573,0.0310251165137,1.45,,0.0,0.0,0.0,1.0
1542726565757808122,,20,,1542726565,757474899,"""world""",,,1.23462354033,0.0283408442005,1.45,,0.0,0.0,0.0,1.0
1542726565836034639,,21,,1542726565,835531949,"""world""",,,1.23009815475,0.0238477251287,1.45,,0.0,0.0,0.0,1.0
1542726565857142184,,22,,1542726565,856738090,"""world""",,,1.22447071576,0.0171272385517,1.45,,0.0,0.0,0.0,1.0
1542726565890909604,,23,,1542726565,890485048,"""world""",,,1.22447071576,0.0171272385517,1.45,,0.0,0.0,0.0,1.0
1542726565909277961,,24,,1542726565,908665895,"""world""",,,1.22185188662,0.0137977528151,1.45,,0.0,0.0,0.0,1.0
1542726565954204312,,25,,1542726565,953915119,"""world""",,,1.22185188662,0.0137977528151,1.45,,0.0,0.0,0.0,1.0
1542726565986847073,,26,,1542726565,986565113,"""world""",,,1.21837738866,0.00871316455264,1.45,,0.0,0.0,0.0,1.0
1542726566043343941,,27,,1542726566,43010950,"""world""",,,1.21563708287,0.00320829854346,1.45,,0.0,0.0,0.0,1.0
1542726566082244573,,28,,1542726566,65156936,"""world""",,,1.21208393145,-0.00522685978685,1.45,,0.0,0.0,0.0,1.0
1542726566104570767,,29,,1542726566,103998899,"""world""",,,1.20967884329,-0.0101965359405,1.45,,0.0,0.0,0.0,1.0
1542726566148571248,,30,,1542726566,148130893,"""world""",,,1.2048640191,-0.0179844478189,1.45,,0.0,0.0,0.0,1.0
1542726566207943180,,31,,1542726566,207568883,"""world""",,,1.2048640191,-0.0179844478189,1.45,,0.0,0.0,0.0,1.0
1542726566254653859,,32,,1542726566,254337072,"""world""",,,1.19752995452,-0.0277358068916,1.45,,0.0,0.0,0.0,1.0
1542726566337054358,,33,,1542726566,327780008,"""world""",,,1.19344163213,-0.0321088206549,1.45,,0.0,0.0,0.0,1.0
1542726566381209235,,34,,1542726566,380908012,"""world""",,,1.17994903128,-0.0460777668935,1.45,,0.0,0.0,0.0,1.0
1542726566405117866,,35,,1542726566,404836893,"""world""",,,1.17533757257,-0.0494811553104,1.45,,0.0,0.0,0.0,1.0
1542726566456752070,,36,,1542726566,456243038,"""world""",,,1.17533757257,-0.0494811553104,1.45,,0.0,0.0,0.0,1.0
1542726566504965481,,37,,1542726566,504601955,"""world""",,,1.15866737511,-0.0555045731886,1.45,,0.0,0.0,0.0,1.0
1542726566585655021,,38,,1542726566,585133075,"""world""",,,1.14482037195,-0.0564780378031,1.45,,0.0,0.0,0.0,1.0
1542726566632033537,,39,,1542726566,631460905,"""world""",,,1.13743527629,-0.0564928812317,1.45,,0.0,0.0,0.0,1.0
1542726566670356107,,40,,1542726566,665138006,"""world""",,,1.12604028958,-0.0558881781038,1.45,,0.0,0.0,0.0,1.0
1542726566699544138,,41,,1542726566,699112892,"""world""",,,1.11119377159,-0.0546109984802,1.45,,0.0,0.0,0.0,1.0
1542726566715853974,,42,,1542726566,715147018,"""world""",,,1.11119377159,-0.0546109984802,1.45,,0.0,0.0,0.0,1.0
