1, ,0, , , , , ,5.4325568676
 ,1, , , , , , ,4.30480384827
 , , , ,1, , , ,3.23243784904
1, , , , , , , ,2.1295170784
 , , , , , ,1, ,4.0177500248
 , , ,1, , , , ,6.07334804535
 , , , , ,0,1, ,3.01703095436
 , , , , , , ,1,2.3367638588
 ,1, , ,0, , , ,4.69693207741
 ,1, , , ,0, , ,10.5853111744
 ,0, , , , , ,1,3.4811630249
 , , , , , , ,1,3.72082614899
 , , , , , ,1, ,2.59286379814
1, , , , , , , ,3.37764191628
 , ,0, ,1, , , ,3.93704795837
 , , ,1, , , , ,3.20936799049
 , ,1, , , , , ,2.65680718422
 , , , , , , ,1,2.10483503342
1, , , , , , , ,3.95354700089
 , ,1, ,0, , , ,2.41772198677
 , , , , , ,1, ,2.00061988831
 , , ,0, ,1, , ,3.76154899597
 ,0, , , ,1, , ,4.50659894943
 ,1, , , ,0, , ,6.03264093399
 , ,1, , , , , ,3.31353187561
0, , , ,1, , , ,7.55283617973
 , , , , ,1, , ,3.80921697617
 , , , , , ,1, ,2.12093186378
 , , , ,1, , , ,6.53702712059
 ,1, , , , , , ,2.51296186447
 , , ,1, , , , ,4.63319802284
 , , , , , , ,1,2.14455389977
 , , , , , ,1, ,2.28161907196
1, , , , , , , ,3.46512389183
 , , , , , , ,1,2.09661602974
 , , ,1, ,0, , ,3.4333190918
 ,1, , , , , , ,3.20951199532
 , , ,1, , , , ,2.26495313644
 , ,1, , , , , ,3.80192899704
 , ,1, ,0, , , ,4.40912413597
 , , ,1, , , , ,6.0727918148
 , , , , , ,1, ,2.34532904625
 ,1, , , , , , ,2.24120593071
 , ,1, , , , , ,4.54558396339
 , , , , , , ,1,2.60063791275
 , , ,1, ,0, , ,3.36904597282
 , , , ,1, , , ,3.69721579552
1, , , , , , , ,2.49798488617
 , ,1, ,0, , , ,3.32917094231
1, , , , , , , ,4.74644207954
 , , ,1, , , , ,2.86561799049
 , , , , , , ,1,2.13678002357
 , , , , , ,1, ,2.16123914719
 , ,1, , , , , ,4.19480013847
 , , , , ,1, , ,2.50448894501
 ,1, , , , , , ,1.28150987625
 ,1, , , , , , ,3.44949507713
 , , , , , ,1, ,2.12057209015
 , , ,0, , , ,1,5.48144006729
 , , , , , , ,1,2.20838904381
 , , , ,1, , , ,2.48142695427
 , , ,1, ,0, , ,3.41679906845
1, , , , , , , ,4.00167393684
 , ,1, , , , , ,2.37685680389
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
